"","Aeschylus","DiodSic","Herodotus","Hesiod","IlHomer","Lysias","OdHomer","Plutarch","Polybius","Sophocles","Thucydides","Xenophon","-SUM-"
"Polybius",0,0,0,0,0,0,0,1,12,0,0,0,1
"Sophocles",0,0,0,0,0,0,0,0,0,18,0,0,0
"Thucydides",0,0,1,0,0,0,0,2,0,0,11,1,4
"Xenophon",0,0,0,0,0,2,0,1,1,0,2,9,6
"-SUM-",0,0,1,0,2,3,2,5,5,0,4,1,23
"Aeschylus",15,0,0,0,0,0,0,0,0,3,0,0,3
"DiodSic",0,10,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,9,0,0,1,0,0,0,0,1,0,2
"Hesiod",0,0,0,8,3,0,0,0,0,0,0,0,3
"IlHomer",0,0,0,0,15,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,16,0,0,0,0,1,0,1
"OdHomer",0,0,0,0,1,0,13,0,0,0,0,0,1
"Plutarch",0,1,0,0,0,0,0,7,0,0,0,0,1
"Polybius",0,0,0,0,0,0,0,0,16,0,0,0,0
"Sophocles",2,0,0,0,0,0,0,0,0,15,0,0,2
"Thucydides",0,0,1,0,0,0,0,0,0,0,13,1,2
"Xenophon",0,1,2,0,0,2,0,0,1,0,2,12,8
"-SUM-",2,2,3,0,4,3,0,0,1,3,4,1,23
"Aeschylus",11,0,0,0,0,0,0,0,0,1,0,0,1
"DiodSic",0,18,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,16,0,0,0,0,0,0,0,0,2,2
"Hesiod",0,0,0,12,1,0,0,0,0,0,0,0,1
"IlHomer",0,0,0,0,14,0,0,0,0,0,0,0,0
"Lysias",0,0,1,0,0,12,0,0,0,0,1,0,2
"OdHomer",0,0,0,0,0,0,18,0,0,0,0,0,0
