author_rate,chunk_rate,chunk_ref,
0.2,0.000692042,Polybius_Book2-55,
0.2,0.000692042,Polybius_Book2-56,
0.2,0.000692042,Polybius_Book2-57,
0.2,0.000692042,Polybius_Book2-58,
0.2,0.000692042,Polybius_Book2-59,
0.2,0.000692042,Polybius_Book2-6,
0.2,0.000692042,Polybius_Book2-60,
0.2,0.000692042,Polybius_Book2-61,
0.2,0.000692042,Polybius_Book2-62,
0.2,0.000692042,Polybius_Book2-63,
0.2,0.000692042,Polybius_Book2-64,
0.2,0.000692042,Polybius_Book2-65,
0.2,0.000692042,Polybius_Book2-66,
0.2,0.000692042,Polybius_Book2-67,
0.2,0.000692042,Polybius_Book2-68,
0.2,0.000692042,Polybius_Book2-69,
0.2,0.000692042,Polybius_Book2-7,
0.2,0.000692042,Polybius_Book2-70,
0.2,0.000692042,Polybius_Book2-71,
0.2,0.000692042,Polybius_Book2-72,
0.2,0.000692042,Polybius_Book2-73,
0.2,0.000692042,Polybius_Book2-74,
0.2,0.000692042,Polybius_Book2-75,
0.2,0.000692042,Polybius_Book2-76,
0.2,0.000692042,Polybius_Book2-77,
0.2,0.000692042,Polybius_Book2-78,
0.2,0.000692042,Polybius_Book2-79,
0.2,0.000692042,Polybius_Book2-8,
0.2,0.000692042,Polybius_Book2-80,
0.2,0.000692042,Polybius_Book2-9,
0.2,0.000692042,Polybius_Book9-1,
0.2,0.000692042,Polybius_Book9-10,
0.2,0.000692042,Polybius_Book9-11,
0.2,0.000692042,Polybius_Book9-12,
0.2,0.000692042,Polybius_Book9-13,
0.2,0.000692042,Polybius_Book9-14,
0.2,0.000692042,Polybius_Book9-15,
0.2,0.000692042,Polybius_Book9-16,
0.2,0.000692042,Polybius_Book9-17,
0.2,0.000692042,Polybius_Book9-18,
0.2,0.000692042,Polybius_Book9-19,
0.2,0.000692042,Polybius_Book9-2,
0.2,0.000692042,Polybius_Book9-20,
0.2,0.000692042,Polybius_Book9-21,
0.2,0.000692042,Polybius_Book9-22,
0.2,0.000692042,Polybius_Book9-23,
0.2,0.000692042,Polybius_Book9-24,
0.2,0.000692042,Polybius_Book9-25,
0.2,0.000692042,Polybius_Book9-26,
0.2,0.000692042,Polybius_Book9-27,
0.2,0.000692042,Polybius_Book9-28,
0.2,0.000692042,Polybius_Book9-29,
0.2,0.000692042,Polybius_Book9-3,
0.2,0.000692042,Polybius_Book9-30,
0.2,0.000692042,Polybius_Book9-31,
0.2,0.000692042,Polybius_Book9-32,
0.2,0.000692042,Polybius_Book9-33,
0.2,0.000692042,Polybius_Book9-34,
0.2,0.000692042,Polybius_Book9-35,
0.2,0.000692042,Polybius_Book9-36,
0.2,0.000692042,Polybius_Book9-37,
0.2,0.000692042,Polybius_Book9-38,
0.2,0.000692042,Polybius_Book9-39,
0.2,0.000692042,Polybius_Book9-4,
0.2,0.000692042,Polybius_Book9-40,
0.2,0.000692042,Polybius_Book9-41,
0.2,0.000692042,Polybius_Book9-42,
0.2,0.000692042,Polybius_Book9-43,
0.2,0.000692042,Polybius_Book9-44,
0.2,0.000692042,Polybius_Book9-5,
0.2,0.000692042,Polybius_Book9-6,
0.2,0.000692042,Polybius_Book9-7,
0.2,0.000692042,Polybius_Book9-8,
0.2,0.000692042,Polybius_Book9-9,
0.2,0.002083333,Thucydides_Book1-1,96
0.2,0.002083333,Thucydides_Book1-10,
0.2,0.002083333,Thucydides_Book1-11,
0.2,0.002083333,Thucydides_Book1-12,
0.2,0.002083333,Thucydides_Book1-13,
0.2,0.002083333,Thucydides_Book1-14,
0.2,0.002083333,Thucydides_Book1-15,
