"","Aeschylus","Diodorus","Herodotus","Hesiod","HomerIL","HomerOD","Lysias","Plutarch","Polybius","Sophocles","Thucydides","Xenophon","-SUM-"
"Thucydides",1,16,17,1,0,2,21,10,25,1,34,5,99
"Xenophon",0,11,19,0,3,2,21,7,26,1,20,30,110
"-SUM-",52,69,95,19,100,47,58,47,186,49,64,48,834
"Aeschylus",90,0,1,3,4,4,0,0,0,38,0,1,51
"Diodorus",1,60,8,0,1,0,1,5,55,0,3,2,76
"Herodotus",1,10,75,0,0,0,9,14,20,2,12,9,77
"Hesiod",15,0,1,62,24,21,0,0,0,4,1,0,66
"HomerIL",1,0,0,9,107,20,0,0,0,0,0,0,30
"HomerOD",5,0,0,5,29,87,0,0,0,0,0,0,39
"Lysias",1,1,16,0,0,0,67,6,23,1,12,15,75
"Plutarch",0,14,20,0,1,1,11,36,33,1,16,5,102
"Polybius",0,18,5,0,0,0,5,6,112,0,3,4,41
"Sophocles",31,0,0,2,8,0,2,0,0,79,0,3,46
"Thucydides",0,10,13,0,0,1,17,5,25,1,37,13,85
"Xenophon",0,10,24,0,1,0,26,6,21,2,21,30,111
"-SUM-",55,63,88,19,68,47,71,42,177,49,68,52,799
"Aeschylus",84,1,0,0,5,2,0,1,0,31,1,0,41
"Diodorus",0,55,5,0,0,0,3,5,58,0,3,3,77
"Herodotus",2,7,74,0,3,2,7,13,14,1,13,10,72
"Hesiod",14,0,0,65,22,20,0,0,0,5,0,0,61
"HomerIL",2,0,0,7,114,16,0,0,0,1,0,0,26
"HomerOD",2,0,0,6,45,97,0,0,0,1,0,0,54
"Lysias",0,9,20,0,0,0,63,8,30,1,10,10,88
"Plutarch",1,9,23,0,0,0,7,32,40,1,5,7,93
"Polybius",0,18,7,0,0,0,6,4,106,0,3,5,43
"Sophocles",30,1,3,2,3,4,1,0,1,88,0,1,46
"Thucydides",1,11,14,0,0,1,19,10,29,1,35,9,95
"Xenophon",1,9,24,0,2,0,20,5,22,1,9,39,93
"-SUM-",53,65,96,15,80,45,63,46,194,43,44,45,789
"Aeschylus",93,0,1,10,13,1,0,0,0,26,0,0,51
"Diodorus",0,41,8,0,0,0,1,8,46,0,5,3,71
"Herodotus",1,9,73,1,0,3,8,2,23,4,12,10,73
"Hesiod",14,0,0,59,23,16,0,0,0,6,0,0,59
"HomerIL",2,0,0,6,117,25,0,0,0,3,0,0,36
"HomerOD",2,0,0,8,45,99,0,0,0,0,0,0,55
"Lysias",0,0,24,0,1,0,67,3,10,1,9,17,65
"Plutarch",1,15,24,0,0,1,8,37,45,1,11,8,114
"Polybius",0,20,12,0,0,0,8,7,81,0,3,4,54
"Sophocles",29,0,0,2,8,2,0,0,1,92,0,0,42
"Thucydides",1,7,25,0,0,0,12,8,31,2,33,8,94
"Xenophon",0,4,25,0,1,1,22,8,21,1,17,35,100
"-SUM-",50,55,119,27,91,49,59,36,177,44,57,50,814
"Aeschylus",98,0,0,3,9,3,0,0,0,32,0,0,47
"Diodorus",0,47,5,0,0,0,3,3,50,0,1,1,63
"Herodotus",1,8,71,0,0,1,9,9,14,2,14,15,73
"Hesiod",19,0,2,64,25,21,0,0,0,3,1,0,71
"HomerIL",1,0,0,1,120,26,0,0,0,3,0,0,31
"HomerOD",1,0,0,2,37,114,0,0,0,2,0,0,42
"Lysias",0,1,19,0,0,1,50,8,23,1,15,17,85
"Plutarch",2,9,19,0,0,1,10,36,40,1,7,4,93
"Polybius",0,16,7,0,0,0,4,5,95,1,4,4,41
"Sophocles",28,0,2,3,5,4,0,1,0,94,0,0,43
"Thucydides",0,11,22,0,0,1,14,10,28,1,35,12,99
"Xenophon",0,10,15,0,1,0,20,10,19,1,10,43,86
"-SUM-",52,55,91,9,77,58,60,46,174,47,52,53,774
"Aeschylus",117,0,0,4,3,3,0,0,1,35,0,0,46
"Diodorus",0,47,4,1,0,0,0,4,46,0,1,2,58
"Herodotus",0,6,68,0,0,0,10,11,23,0,8,8,66
"Hesiod",13,0,1,76,19,14,0,0,0,9,0,0,56
"HomerIL",3,0,0,5,116,25,0,0,0,2,0,0,35
"HomerOD",5,0,0,5,34,94,0,0,0,0,0,0,44
"Lysias",1,3,15,0,0,2,54,3,16,4,10,15,69
"Plutarch",1,17,18,0,0,0,6,30,42,1,15,7,107
"Polybius",0,15,3,0,0,0,4,7,100,0,2,2,33
"Sophocles",22,0,1,7,6,2,0,0,0,104,1,0,39
"Thucydides",0,6,28,0,0,1,10,10,37,2,38,16,110
"Xenophon",0,10,27,0,1,1,16,11,17,1,15,35,99
"-SUM-",45,57,97,22,63,48,46,46,182,54,52,50,762
"Aeschylus",88,0,0,4,6,3,0,0,0,27,0,1,41
"Diodorus",0,64,4,0,0,0,0,5,48,0,3,2,62
"Herodotus",1,13,56,0,1,0,7,5,13,1,13,7,61
"Hesiod",17,0,0,57,29,20,0,0,0,7,0,0,73
"HomerIL",1,0,0,1,129,33,0,0,0,2,0,0,37
"HomerOD",5,0,0,4,43,99,0,0,0,1,0,1,54
"Lysias",0,3,20,0,0,0,58,8,18,2,14,13,78
"Plutarch",1,9,18,0,1,1,7,41,48,1,10,8,104
"Polybius",0,18,10,0,1,0,4,6,98,0,6,4,49
"Sophocles",30,0,1,2,4,3,1,0,1,91,0,0,42
"Thucydides",0,8,21,0,1,0,26,5,18,0,37,9,88
"Xenophon",0,10,18,0,1,1,24,11,18,3,12,36,98
"-SUM-",55,61,92,11,87,61,69,40,164,44,58,45,787
"Aeschylus",90,0,0,2,5,6,0,1,0,16,0,0,30
"Diodorus",1,43,4,0,0,0,1,5,60,1,3,6,81
"Herodotus",4,8,56,0,3,1,9,8,26,2,16,6,83
"Hesiod",14,0,1,61,31,17,0,0,0,7,2,0,72
"HomerIL",7,0,0,4,103,26,0,0,0,1,0,0,38
"HomerOD",5,0,1,5,38,100,0,0,0,3,0,0,52
"Lysias",0,1,21,0,0,1,59,7,21,1,10,11,73
