,Aeschylus,Diodorus,Herodotus,Hesiod,HomerIl,HomerOd,Lysias,Plutarch,Polybius,Sophocles,Thucydides,Xenophon,-SUM-,,,,
HomerIl,0,0,0,1,34,1,0,0,0,0,0,0,2,,,,
HomerOd,0,0,0,0,1,41,0,0,0,0,0,0,1,,,,
Lysias,0,0,6,0,0,0,19,0,0,0,2,2,10,,,,
Plutarch,0,1,4,0,0,0,2,18,7,0,3,2,19,,,,
Polybius,0,2,0,0,0,0,0,0,25,0,0,0,2,,,,
Sophocles,6,0,0,0,1,1,0,0,0,34,0,0,8,,,,
Thucydides,0,3,7,0,0,0,5,0,3,0,24,1,19,,,,
Xenophon,0,2,5,0,0,0,8,1,5,0,6,16,27,,,,
-SUM-,6,10,24,1,5,3,17,3,33,4,15,6,127,,,,
Aeschylus,39,0,0,0,0,0,0,0,0,1,0,0,1,,,,
Diodorus,0,24,0,0,0,0,0,2,15,0,1,0,18,,,,
Herodotus,0,1,28,0,0,0,2,2,0,0,3,3,11,,,,
Hesiod,0,0,0,26,2,4,0,0,0,0,0,0,6,,,,
HomerIl,0,0,0,1,40,1,0,0,0,0,0,0,2,,,,
HomerOd,0,0,0,0,4,35,0,0,0,0,0,0,4,,,,
Lysias,0,1,5,0,0,0,23,0,0,0,3,1,10,,,,
Plutarch,0,1,2,0,0,0,0,27,11,0,2,2,18,,,,
Polybius,0,4,0,0,0,0,0,3,34,0,2,2,11,,,,
Sophocles,2,0,0,0,1,0,0,0,0,28,0,0,3,,,,
Thucydides,0,0,5,0,0,0,6,2,2,0,20,0,15,,,,
Xenophon,0,5,6,0,0,0,5,2,4,0,6,9,28,,,,
-SUM-,2,12,18,1,7,5,13,11,32,1,17,8,127,,,,
Aeschylus,41,0,0,1,0,0,0,0,0,5,0,0,6,,,,
Diodorus,0,21,1,0,0,0,0,0,8,0,1,0,10,,,,
Herodotus,0,1,27,0,0,0,2,0,2,0,2,1,8,,,,
Hesiod,2,0,1,27,5,1,0,0,0,1,0,0,10,,,,
HomerIl,0,0,0,0,38,2,0,0,0,0,0,0,2,,,,
HomerOd,0,0,0,0,5,25,0,0,0,0,0,0,5,,,,
Lysias,0,0,4,0,0,0,23,0,2,0,1,2,9,,,,
Plutarch,0,3,4,0,0,0,1,18,7,0,2,0,17,,,,
Polybius,0,3,1,0,0,0,0,3,42,0,1,1,9,,,,
Sophocles,5,0,0,0,1,0,0,0,0,35,0,0,6,,,,
Thucydides,0,1,14,0,0,0,4,1,4,0,17,3,27,,,,
Xenophon,0,2,6,0,0,0,2,2,3,0,4,18,19,,,,
