"","Diodorus","Herodotus","Plutarch","Polybius","Thucydides","-SUM-"
"-SUM-",9,15,5,19,5,53
"Diodorus",24,4,0,8,1,13
"Herodotus",0,19,4,4,2,10
"Plutarch",3,2,25,3,6,14
"Polybius",3,0,3,27,2,8
"Thucydides",0,9,2,4,15,15
"-SUM-",6,15,9,19,11,60
"Diodorus",22,2,1,12,0,15
"Herodotus",0,33,0,1,2,3
"Plutarch",1,3,22,2,3,9
"Polybius",2,0,1,27,1,4
"Thucydides",1,8,1,5,20,15
"-SUM-",4,13,3,20,6,46
"Diodorus",28,1,0,8,0,9
"Herodotus",1,26,2,1,5,9
"Plutarch",3,0,22,5,3,11
"Polybius",2,1,0,27,0,3
"Thucydides",2,5,6,2,20,15
"-SUM-",8,7,8,16,8,47
"Diodorus",27,4,0,9,0,13
"Herodotus",1,24,2,0,4,7
"Plutarch",1,2,21,4,5,12
"Polybius",5,2,2,27,2,11
"Thucydides",2,3,4,4,15,13
