"","Diodorus","Herodotus","Lysias","Plutarch","Polybius","Thucydides","-SUM-"
"Herodotus",1,16,0,3,2,2,8
"Lysias",0,4,10,1,1,0,6
"Plutarch",0,0,1,14,2,3,6
"Polybius",3,0,0,0,17,1,4
"Thucydides",1,8,1,2,1,13,13
"-SUM-",5,15,2,6,10,6,44
"Diodorus",17,0,0,1,4,0,5
"Herodotus",2,16,0,1,1,3,7
"Lysias",0,5,18,0,0,0,5
"Plutarch",0,1,0,11,5,4,10
"Polybius",0,0,0,0,26,0,0
"Thucydides",1,5,2,1,2,7,11
"-SUM-",3,11,2,3,12,7,38
"Diodorus",18,3,0,0,3,0,6
"Herodotus",0,20,0,0,2,1,3
"Lysias",1,2,14,0,1,0,4
"Plutarch",0,2,0,16,5,3,10
"Polybius",2,0,0,0,19,0,2
"Thucydides",0,5,1,2,1,12,9
"-SUM-",3,12,1,2,12,4,34
"Diodorus",13,2,0,0,5,1,8
"Herodotus",0,13,1,1,2,4,8
"Lysias",1,5,16,0,0,4,10
"Plutarch",0,4,0,12,1,2,7
"Polybius",0,0,0,1,21,0,1
"Thucydides",0,2,1,2,2,17,7
"-SUM-",1,13,2,4,10,11,41
"Diodorus",16,1,0,0,1,0,2
"Herodotus",2,16,1,0,3,1,7
"Lysias",0,1,17,0,0,4,5
"Plutarch",1,3,0,12,9,2,15
"Polybius",2,0,0,1,19,1,4
"Thucydides",1,2,0,4,0,13,7
"-SUM-",6,7,1,5,13,8,40
"Diodorus",15,1,0,0,4,0,5
"Herodotus",1,15,2,3,0,3,9
"Lysias",0,3,19,0,2,2,7
"Plutarch",0,1,0,12,2,2,5
"Polybius",1,1,0,0,23,0,2
"Thucydides",0,5,1,1,3,11,10
"-SUM-",2,11,3,4,11,7,38
"Diodorus",16,1,0,0,3,1,5
"Herodotus",2,11,0,0,1,4,7
"Lysias",0,3,18,0,1,0,4
"Plutarch",2,0,2,13,0,2,6
"Polybius",2,0,0,0,25,0,2
"Thucydides",1,4,0,3,2,16,10
"-SUM-",7,8,2,3,7,7,34
"Diodorus",18,1,0,0,3,0,4
"Herodotus",1,16,0,1,3,1,6
"Lysias",0,3,14,1,2,0,6
"Plutarch",1,3,1,8,5,5,15
"Polybius",1,0,0,2,19,0,3
"Thucydides",1,3,0,4,1,15,9
"-SUM-",4,10,1,8,14,6,43
"Diodorus",20,2,0,1,1,0,4
"Herodotus",4,13,0,2,1,3,10
"Lysias",0,2,14,0,1,1,4
"Plutarch",1,2,0,14,3,4,10
"Polybius",1,1,0,0,27,0,2
